jar	jar_weight	plot	plant	depth	soil_jar	density_40	density_2H
118	201.96	G22L	G	100	246.15	1.0123	1.0085
119	210.34	G23L	G	100	258.49	1.014	1.01
120	195.53	G24R	G	100	240.44	1.0097	1.0067
121	195	G01R	G	125	240.13	1.0113	1.0081
122	214.22	G02L	G	125	259.27	1.01	1.0067
123	195.53	G04L	G	125	240.23	1.01	1.007
124	213.73	G05R	G	125	258.98	1.0101	1.007
125	175.4	G06R	G	125	220.8	1.0092	1.0061
126	212.18	G07L	G	125	257.77	1.011	1.007
127	215.1	G08L	G	125	260.11	1.01	1.007
128	201.75	G09L	G	125	246.99	1.0101	1.0062
129	214.79	G10L	G	125	259.87	1.0104	1.0079
130	202.06	G11R	G	125	247.15	1.0105	1.0081
131	211.38	G12R	G	125	259.33	1.0105	1.0073
132	174.44	G13L	G	125	219.84	1.0083	1.0055
133	212.18	G14R	G	125	256.87	1.013	1.009
134	210.02	G15R	G	125	260.19	1.0121	1.0084
135	195	G16R	G	125	239.53	1.0121	1.008
136	214.22	G17R	G	125	256.63	1.0116	1.0077
137	202	G18R	G	125	247.09	1.0108	1.008
138	175.51	G19L	G	125	220.49	1.0102	1.007
139	210.69	G20L	G	125	255.95	1.0116	1.0075
140	212.18	G22L	G	125	257.09	1.0115	1.0083
141	215.1	G23L	G	125	254.65	1.015	1.008
142	201.75	G24R	G	125	246.27	1.01	1.007
143	194.96	G01R	G	150	239.97	1.011	1.0075
144	211.19	G02L	G	150	256.28	1.0095	1.006
145	201.75	G04L	G	150	247.12	1.009	1.006
146	214.79	G05R	G	150	260.21	1.01	1.0062
147	202.06	G06R	G	150	247.14	1.0092	1.0052
148	211.38	G07L	G	150	256.76	1.01	1.0062
149	174.44	G08L	G	150	219.36	1.0092	1.0065
150	194.94	G09L	G	150	240.11	1.009	1.0052
151	210.02	G10L	G	150	258.33	1.011	1.008
152	195	G11R	G	150	240.28	1.0102	1.008
153	214.22	G12R	G	150	256.34	1.0101	1.0071
154	202	G13L	G	150	246.85	1.011	1.0075
155	194.94	G14R	G	150	239.86	1.015	1.0105
156	210.69	G15R	G	150	255.87	1.012	1.008
157	194.96	G16R	G	150	240.05	1.0113	1.007
158	211.19	G17R	G	150	257.06	1.0145	1.01
159	194.88	G18R	G	150	239.72	1.012	1.008
160	201.96	G19L	G	150	246.88	1.0114	1.0082
161	210.34	G20L	G	150	260.11	1.0125	1.0085
162	211.38	G22L	G	150	259.57	1.0075	1.006
163	174.44	G23L	G	150	219.83	1.0108	1.0055
164	194.94	G24R	G	150	239.71	1.012	1.0081
165	195.53	G01R	G	175	240.45	1.0104	1.007
166	213.73	G02L	G	175	259.11	1.009	1.0055
167	194.94	G04L	G	175	239.66	1.008	1.005
168	210.02	G05R	G	175	255.12	1.009	1.0061
169	195	G06R	G	175	240.58	1.009	1.0051
170	214.22	G07L	G	175	259.15	1.01	1.0061
171	202	G08L	G	175	246.81	1.0099	1.006
172	175.51	G09L	G	175	220.77	1.009	1.0052
173	210.69	G10L	G	175	256.01	1.0101	1.0067
174	194.96	G11R	G	175	239.85	1.01	1.007
175	211.19	G12R	G	175	256.72	1.0103	1.0072
176	194.88	G13L	G	175	239.8	1.0102	1.007
177	175.51	G14R	G	175	220.41	1.0145	1.01
178	210.34	G15R	G	175	260.2	1.0101	1.0075
179	195.53	G16R	G	175	240.27	1.0142	1.011
180	213.73	G17R	G	175	255.15	1.013	1.0085
181	175.4	G18R	G	175	220.65	1.0136	1.0093
182	212.18	G19L	G	175	257.05	1.0117	1.0083
183	215.1	G20L	G	175	254.92	1.0128	1.0088
184	214.22	G22L	G	175	256.18	1.0042	1.001
185	202	G23L	G	175	247.36	1.007	1.0085
186	175.51	G24R	G	175	220.94	1.0115	1.007
187	201.75	G01R	G	200	247.06	1.01	1.0062
188	214.79	G02L	G	200	260.35	1.009	1.005
189	202	G03	G	200	247.15	1.008	1.005
190	175.51	G04L	G	200	219.78	1.0085	1.005
191	210.69	G05R	G	200	256.04	1.009	1.006
192	194.96	G06R	G	200	240.11	1.0086	1.005
193	211.19	G07L	G	200	256.19	1.0092	1.006
194	194.88	G08L	G	200	239.82	1.0086	1.006
195	201.96	G09L	G	200	247.12	1.0099	1.006
196	210.34	G10L	G	200	255.21	1.0101	1.0063
197	195.53	G11R	G	200	240.36	1.01	1.007
198	213.73	G12R	G	200	255.71	1.0095	1.0072
199	175.4	G13L	G	200	220.3	1.012	1.0085
200	201.96	G14R	G	200	246.75	1.0133	1.0099
201	215.1	G15R	G	200	255.29	1.0138	1.0095
202	201.75	G16R	G	200	246.75	1.0133	1.009
203	214.79	G17R	G	200	258.33	1.014	1.01
204	202.06	G18R	G	200	246.96	1.0152	1.0109
205	211.38	G19L	G	200	258.92	1.011	1.0075
206	174.44	G20L	G	200	219.62	1.01	1.007
207	194.96	G21L	G	200	239.26	1.0112	1.0075
208	211.19	G22L	G	200	256.62	1.0038	1.0012
209	194.88	G23L	G	200	239.84	1.0052	1.003
210	201.96	G24R	G	200	246.61	1.0095	1.0055
1	212.18	CS25LRX	CS	0	257.54	1.007	1.0035
2	210.02	CS26LAX	CS	0	259.5	1.0065	1.0035
3	194.88	CS27RXX	CS	0	240.24	1.005	1.0036
4	201.75	CS28RRX	CS	0	246.4	1.0062	1.004
5	214.22	CS29RXX	CS	0	256.1	1.0065	1.004
6	210.34	CS30CAX	CS	0	260.03	1.0064	1.0039
7	202.06	CS31RAX	CS	0	246.65	1.009	1.005
8	175.51	CS32RXX	CS	0	220.47	1.012	1.004
9	213.73	CS33CRX	CS	0	254.93	1.0075	1.0045
10	174.44	CS34RXX	CS	0	218.5	1.008	1.005
11	194.96	CS35LRX	CS	0	242.03	1.008	1.0055
12	212.18	CS36LAX	CS	0	260.31	1.009	1.005
13	210.02	CS37RXX	CS	0	260.86	1.008	1.005
14	194.88	CS38LAX	CS	0	239.57	1.008	1.0048
15	201.75	CS39LXX	CS	0	247.59	1.008	1.005
16	214.22	CS40LAX	CS	0	255.64	1.0075	1.0045
17	210.34	CS41RAX	CS	0	262.76	1.009	1.0052
18	202.06	CS42LXX	CS	0	247.52	1.0075	1.0041
19	175.51	CS43LRX	CS	0	220.92	1.0088	1.005
20	213.73	CS44RAX	CS	0	255.82	1.007	1.004
21	174.44	CS45LRX	CS	0	219.77	1.0088	1.0051
22	195	CS46RXX	CS	0	239.8	1.0089	1.0049
23	201.96	CS47RXX	CS	0	249.74	1.0087	1.0049
24	214.79	CS48LXX	CS	0	260.61	1.0091	1.0051
25	211.38	CS25LRX	CS	15	259.26	1.007	1.004
26	210.69	CS26LAX	CS	15	255.77	1.0068	1.004
27	175.4	CS27RXX	CS	15	220.86	1.0073	1.0042
28	194.94	CS28RRX	CS	15	239.61	1.0068	1.0042
29	211.19	CS29RXX	CS	15	256.14	1.0065	1.004
30	215.1	CS30CAX	CS	15	255.07	1.0075	1.004
31	195	CS31RAX	CS	15	240.2	1.009	1.0055
32	201.96	CS32RXX	CS	15	246.74	1.009	1.0055
33	214.79	CS33CRX	CS	15	254.97	1.008	1.005
34	202	CS34RXX	CS	15	250.69	1.01	1.006
35	195.53	CS35LRX	CS	15	244.21	1.0079	1.0058
36	211.38	CS36LAX	CS	15	261.82	1.0092	1.0052
37	210.69	CS37RXX	CS	15	256.77	1.0097	1.0058
38	175.4	CS38LAX	CS	15	220.06	1.0087	1.0049
39	194.94	CS39LXX	CS	15	239.87	1.008	1.005
40	211.19	CS40LAX	CS	15	256.54	1.0085	1.005
41	215.1	CS41RAX	CS	15	255.98	1.0085	1.0052
42	195	CS42LXX	CS	15	241.09	1.008	1.0046
43	201.96	CS43LRX	CS	15	250.1	1.0079	1.0049
44	214.79	CS44RAX	CS	15	264.37	1.009	1.0048
45	202	CS45LRX	CS	15	249.39	1.009	1.0052
46	194.96	CS46RXX	CS	15	241.78	1.0083	1.0059
47	212.18	CS47RXX	CS	15	257.39	1.0084	1.0051
48	210.02	CS48LXX	CS	15	260.09	1.0082	1.005
49	214.22	CS25LRX	CS	30	255.85	1.007	1.004
50	210.34	CS26LAX	CS	30	259.69	1.0081	1.005
51	202.06	CS27RXX	CS	30	247.18	1.008	1.0045
52	175.51	CS28RRX	CS	30	220.27	1.0075	1.0045
53	213.73	CS29RXX	CS	30	255.67	1.0075	1.0042
54	174.44	CS30CAX	CS	30	219.16	1.009	1.0055
55	194.96	CS31RAX	CS	30	239.53	1.0087	1.0052
56	212.18	CS32RXX	CS	30	256.72	1.01	1.0059
57	210.02	CS33CRX	CS	30	259.77	1.0084	1.0052
58	194.88	CS34RXX	CS	30	243.71	1.009	1.0055
59	201.75	CS35LRX	CS	30	246.94	1.009	1.005
60	214.22	CS36LAX	CS	30	257.1	1.009	1.0052
61	210.34	CS37RXX	CS	30	259.4	1.009	1.006
62	202.06	CS38LAX	CS	30	245.8	1.0085	1.0045
