"","date","depth","new_mean"
"1",2012.06139185413,-200,27.5396550528136
"2",2012.08027672149,-200,27.5248939824453
"3",2012.09916158886,-200,27.5206288508259
"4",2012.11804645622,-200,27.529583741398
"5",2012.13693132359,-200,27.5564315752606
"6",2012.15581619096,-200,27.6019218359956
"7",2012.17470105832,-200,27.6575610308305
"8",2012.19358592569,-200,27.7162932754356
"9",2012.21247079305,-200,27.7882654689918
"10",2012.23135566042,-200,27.8885835470832
"11",2012.25024052779,-200,27.9959766522406
"12",2012.26912539515,-200,28.0543500859947
"13",2012.28801026252,-200,28.0375570862464
"14",2012.30689512988,-200,27.993531211058
"15",2012.32577999725,-200,27.9746822608803
"16",2012.34466486462,-200,27.9934168727938
"17",2012.36354973198,-200,28.0457447070126
"18",2012.38243459935,-200,28.1153477780819
"19",2012.40131946672,-200,28.1739069205877
"20",2012.42020433408,-200,28.2047494033854
"21",2012.43908920145,-200,28.2205536144027
"22",2012.45797406881,-200,28.2365119373788
"23",2012.47685893618,-200,28.2557510860215
"24",2012.49574380355,-200,28.2764971681029
"25",2012.51462867091,-200,28.2966594427994
"26",2012.53351353828,-200,28.3138459370678
"27",2012.55239840564,-200,28.3257952601469
"28",2012.57128327301,-200,28.330600089405
"29",2012.59016814038,-200,28.3266408419258
"30",2012.60905300774,-200,28.3138730509532
"31",2012.62793787511,-200,28.2928728748558
"32",2012.64682274247,-200,28.2634487874334
"33",2012.66570760984,-200,28.2246248979875
"34",2012.68459247721,-200,28.1765619916569
"35",2012.70347734457,-200,28.1223848443746
"36",2012.72236221194,-200,28.0655410214491
"37",2012.74124707931,-200,28.008525607915
"38",2012.76013194667,-200,27.9535013991767
"39",2012.77901681404,-200,27.9043562334274
"40",2012.7979016814,-200,27.8667735919263
"41",2012.81678654877,-200,27.8455544227304
"42",2012.83567141614,-200,27.8430028556178
"43",2012.8545562835,-200,27.8602241914363
"44",2012.87344115087,-200,27.8926273621126
"45",2012.89232601823,-200,27.9331756359217
"46",2012.9112108856,-200,27.9753337460113
"47",2012.93009575297,-200,28.0131125234529
"48",2012.94898062033,-200,28.041939779521
"49",2012.9678654877,-200,28.0609179005975
"50",2012.98675035506,-200,28.0699017391629
"51",2013.00563522243,-200,28.0698530311614
"52",2013.0245200898,-200,28.0622344020885
"53",2013.04340495716,-200,28.0487870563357
"54",2013.06228982453,-200,28.0315515519119
"55",2013.0811746919,-200,28.0125954845719
"56",2013.10005955926,-200,27.994017281933
"57",2013.11894442663,-200,27.9775106227465
"58",2013.13782929399,-200,27.9617238355106
"59",2013.15671416136,-200,27.9440005074748
"60",2013.17559902873,-200,27.9237002114706
"61",2013.19448389609,-200,27.9024168494257
"62",2013.21336876346,-200,27.8778281210632
"63",2013.23225363082,-200,27.8364736777362
"64",2013.25113849819,-200,27.7652156924259
"65",2013.27002336556,-200,27.6679836008776
"66",2013.28890823292,-200,27.5566520679659
"67",2013.30779310029,-200,27.4448397596337
"68",2013.32667796765,-200,27.3480797353015
"69",2013.34556283502,-200,27.2745839625799
"70",2013.36444770239,-200,27.2115844694556
"71",2013.38333256975,-200,27.1444253598946
"72",2013.40221743712,-200,27.0725241030671
"73",2013.42110230449,-200,27.0018698794917
"74",2013.43998717185,-200,26.9362037009066
"75",2013.45887203922,-200,26.8766267151234
"76",2013.47775690658,-200,26.8239294392801
"77",2013.49664177395,-200,26.7784297520109
"78",2013.51552664132,-200,26.7400008923746
"79",2013.53441150868,-200,26.7056320870498
"80",2013.55329637605,-200,26.6709828388487
"81",2013.57218124341,-200,26.6336831191128
"82",2013.59106611078,-200,26.5936962384055
"83",2013.60995097815,-200,26.5531578295809
"84",2013.62883584551,-200,26.5202312326707
"85",2013.64772071288,-200,26.5037047562194
"86",2013.66660558024,-200,26.5083534025405
"87",2013.68549044761,-200,26.5368911527114
"88",2013.70437531498,-200,26.5893545751449
"89",2013.72326018234,-200,26.6625797900899
"90",2013.74214504971,-200,26.7530951528192
"91",2013.76102991708,-200,26.8570724792625
"92",2013.77991478444,-200,26.9705837149962
"93",2013.79879965181,-200,27.0894153917411
"94",2013.81768451917,-200,27.209237528621
"95",2013.83656938654,-200,27.3266166727623
"96",2013.85545425391,-200,27.4392195017657
"97",2013.87433912127,-200,27.5447805780582
"98",2013.89322398864,-200,27.6410336730772
"99",2013.912108856,-200,27.725930662518
"100",2013.93099372337,-200,27.7993117412419
"101",2013.94987859074,-200,27.8619918051325
"102",2013.9687634581,-200,27.9147996332157
"103",2013.98764832547,-200,27.9585689625074
"104",2014.00653319283,-200,27.9942684199145
"105",2014.0254180602,-200,28.0232916237053
"106",2014.04430292757,-200,28.0471142655106
"107",2014.06318779493,-200,28.0672113423601
"108",2014.0820726623,-200,28.0850601649119
"109",2014.10095752967,-200,28.1022554118161
"110",2014.11984239703,-200,28.1205415291868
"111",2014.1387272644,-200,28.1417473117955
"112",2014.15761213176,-200,28.1679499466378
"113",2014.17649699913,-200,28.2009276558028
"114",2014.1953818665,-200,28.239261530751
"115",2014.21426673386,-200,28.2795317631638
"116",2014.23315160123,-200,28.3072022478465
"117",2014.25203646859,-200,28.2932593359644
"118",2014.27092133596,-200,28.2142192729149
"119",2014.28980620333,-200,28.068183569757
"120",2014.30869107069,-200,27.8623465948076
"121",2014.32757593806,-200,27.6474315397625
"122",2014.34646080542,-200,27.4967065122852
"123",2014.36534567279,-200,27.4281303202323
"124",2014.38423054016,-200,27.3856906519544
"125",2014.40311540752,-200,27.3224405591869
"126",2014.42200027489,-200,27.2396496829949
"127",2014.44088514225,-200,27.1492226013967
