"","Date","Plant","Water","Mean_water","Depth","Block","date","year","month"
"64","16/03/2012","G","X","10.7505808578067","-12.5","R",2012-03-16,2012,"spring"
"65","16/03/2012","G","A","15.7047952185106","-12.5","R",2012-03-16,2012,"spring"
"66","16/03/2012","G","X","11.2511938857618","-12.5","R",2012-03-16,2012,"spring"
"67","16/03/2012","G","X","11.0436693594494","-12.5","L",2012-03-16,2012,"spring"
"68","16/03/2012","G","R","10.7317200081779","-12.5","L",2012-03-16,2012,"spring"
"69","16/03/2012","G","R","11.7982762428204","-12.5","L",2012-03-16,2012,"spring"
"70","16/03/2012","G","X","11.1253906385835","-12.5","L",2012-03-16,2012,"spring"
"71","16/03/2012","G","A","15.0007284924952","-12.5","L",2012-03-16,2012,"spring"
"72","16/03/2012","G","A","16.4006029221336","-12.5","R",2012-03-16,2012,"spring"
"73","22/02/2012","G","X","17.6296360479284","-12.5","R",2012-02-22,2012,"winter"
"74","22/02/2012","G","A","23.7997889820907","-12.5","R",2012-02-22,2012,"winter"
"75","22/02/2012","G","R","10.0662462754781","-12.5","L",2012-02-22,2012,"winter"
"76","22/02/2012","G","X","19.0800254943223","-12.5","L",2012-02-22,2012,"winter"
"77","22/02/2012","G","R","10.690307288966","-12.5","R",2012-02-22,2012,"winter"
"78","22/02/2012","G","A","21.1802615458611","-12.5","R",2012-02-22,2012,"winter"
"79","22/02/2012","G","R","11.7982762428204","-12.5","L",2012-02-22,2012,"winter"
"80","22/02/2012","G","X","19.263643067628","-12.5","L",2012-02-22,2012,"winter"
"81","22/02/2012","G","A","19.2600755535547","-12.5","L",2012-02-22,2012,"winter"
"82","22/02/2012","G","A","17.3655227416307","-12.5","L",2012-02-22,2012,"winter"
"83","22/02/2012","G","R","10.9187361902464","-12.5","R",2012-02-22,2012,"winter"
"84","22/02/2012","G","X","18.1965248670094","-12.5","R",2012-02-22,2012,"winter"
"85","22/02/2012","G","A","20.3696911513865","-12.5","L",2012-02-22,2012,"winter"
"86","22/02/2012","G","R","10.1499418674862","-12.5","R",2012-02-22,2012,"winter"
"87","22/02/2012","G","R","10.5833767744086","-12.5","R",2012-02-22,2012,"winter"
"88","22/02/2012","G","X","17.3410638641802","-12.5","R",2012-02-22,2012,"winter"
"89","22/02/2012","G","A","18.4744893856437","-12.5","R",2012-02-22,2012,"winter"
"90","22/02/2012","G","X","19.6723582687852","-12.5","R",2012-02-22,2012,"winter"
"91","22/02/2012","G","X","18.7998094936346","-12.5","L",2012-02-22,2012,"winter"
"92","22/02/2012","G","R","10.5379997216028","-12.5","L",2012-02-22,2012,"winter"
"93","22/02/2012","G","R","11.2442300377966","-12.5","L",2012-02-22,2012,"winter"
"94","22/02/2012","G","X","20.5744710797337","-12.5","L",2012-02-22,2012,"winter"
"95","22/02/2012","G","A","24.180482135661","-12.5","L",2012-02-22,2012,"winter"
"96","22/02/2012","G","A","17.8919817082795","-12.5","R",2012-02-22,2012,"winter"
"97","9/04/2012","G","X","10.3811518314059","-12.5","R",2012-04-09,2012,"spring"
"98","9/04/2012","G","A","11.6247067629816","-12.5","R",2012-04-09,2012,"spring"
"99","9/04/2012","G","R","7.97376304184275","-12.5","L",2012-04-09,2012,"spring"
"100","9/04/2012","G","X","10.0192938738656","-12.5","L",2012-04-09,2012,"spring"
"101","9/04/2012","G","R","8.48956453364069","-12.5","R",2012-04-09,2012,"spring"
"102","9/04/2012","G","A","9.824929013637","-12.5","R",2012-04-09,2012,"spring"
"103","9/04/2012","G","R","9.46435618280175","-12.5","L",2012-04-09,2012,"spring"
"104","9/04/2012","G","X","10.7892609138059","-12.5","L",2012-04-09,2012,"spring"
"105","9/04/2012","G","A","11.8520117274506","-12.5","L",2012-04-09,2012,"spring"
"106","9/04/2012","G","A","9.67262144627378","-12.5","L",2012-04-09,2012,"spring"
"107","9/04/2012","G","R","8.37364063557667","-12.5","R",2012-04-09,2012,"spring"
"108","9/04/2012","G","X","10.0464201587029","-12.5","R",2012-04-09,2012,"spring"
"109","9/04/2012","G","A","12.2856963648938","-12.5","L",2012-04-09,2012,"spring"
"110","9/04/2012","G","R","8.03498749922309","-12.5","R",2012-04-09,2012,"spring"
"111","9/04/2012","G","R","8.08299976614036","-12.5","R",2012-04-09,2012,"spring"
"112","9/04/2012","G","X","9.3160391071652","-12.5","R",2012-04-09,2012,"spring"
"113","9/04/2012","G","A","9.29115707154269","-12.5","R",2012-04-09,2012,"spring"
"114","9/04/2012","G","X","11.6113963480173","-12.5","R",2012-04-09,2012,"spring"
"115","9/04/2012","G","X","12.8655329540923","-12.5","L",2012-04-09,2012,"spring"
"116","9/04/2012","G","R","8.21589119560698","-12.5","L",2012-04-09,2012,"spring"
"117","9/04/2012","G","R","8.67022131763811","-12.5","L",2012-04-09,2012,"spring"
"118","9/04/2012","G","X","10.9229600705123","-12.5","L",2012-04-09,2012,"spring"
"119","9/04/2012","G","A","15.3307579215204","-12.5","L",2012-04-09,2012,"spring"
