"","jar","jar_weight","plot","plant","depth","soil_jar","density_40","density_2H","clay_p","silt_p","sand_p"
"217",7,202.06,"CS31RAX","CS",0,246.65,1.009,1.005,11.2132765193987,8.97062121551918,79.8161022650821
"218",8,175.51,"CS32RXX","CS",0,220.47,1.012,1.004,8.89679715302492,17.7935943060498,73.3096085409252
"219",9,213.73,"CS33CRX","CS",0,254.93,1.0075,1.0045,10.9223300970872,7.28155339805853,81.7961165048542
"220",10,174.44,"CS34RXX","CS",0,218.5,1.008,1.005,11.3481615978209,6.80889695869295,81.8429414434861
"221",11,194.96,"CS35LRX","CS",0,242.03,1.008,1.0055,11.6847248778416,5.31123858083693,83.0040365413214
"222",12,212.18,"CS36LAX","CS",0,260.31,1.009,1.005,10.3885310617077,8.31082484936631,81.300644088926
"223",13,210.02,"CS37RXX","CS",0,260.86,1.008,1.005,9.8347757671123,5.90086546026773,84.26435877262
"224",14,194.88,"CS38LAX","CS",0,239.57,1.008,1.0048,10.7406578652941,7.16043857686304,82.0989035578429
"225",15,201.75,"CS39LXX","CS",0,247.59,1.008,1.005,10.9075043630015,6.5445026178013,82.5479930191972
"226",16,214.22,"CS40LAX","CS",0,255.64,1.0075,1.0045,10.8643167551906,7.2428778367941,81.8928054080153
"227",17,210.34,"CS41RAX","CS",0,262.76,1.009,1.0052,9.91987790919514,7.24914154902672,82.8309805417781
"228",18,202.06,"CS42LXX","CS",0,247.52,1.0075,1.0041,9.0189177298724,7.47910250769923,83.5019797624284
"229",19,175.51,"CS43LRX","CS",0,220.92,1.0088,1.005,11.010790574763,8.36820083682014,80.6210085884168
"230",20,213.73,"CS44RAX","CS",0,255.82,1.007,1.004,9.50344499881208,7.1275837491088,83.3689712520791
"231",21,174.44,"CS45LRX","CS",0,219.77,1.0088,1.0051,11.250827266711,8.16236487977016,80.5868078535188
"232",22,195,"CS46RXX","CS",0,239.8,1.0089,1.0049,10.9374999999998,8.92857142857143,80.1339285714288
"233",23,201.96,"CS47RXX","CS",0,249.74,1.0087,1.0049,10.2553369610714,7.95311845960659,81.791544579322
"234",24,214.79,"CS48LXX","CS",0,260.61,1.0091,1.0051,11.1305106940203,8.72981230903537,80.1396769969443
"235",25,211.38,"CS25LRX","CS",15,259.26,1.007,1.004,8.35421888053468,6.26566416040079,85.3801169590645
"236",26,210.69,"CS26LAX","CS",15,255.77,1.0068,1.004,8.87311446317658,6.21118012422341,84.9157054126
"237",27,175.4,"CS27RXX","CS",15,220.86,1.0073,1.0042,9.23889133303999,6.81918169819644,83.9419269687636
"238",28,194.94,"CS28RRX","CS",15,239.61,1.0068,1.0042,9.40228341168565,5.8204611596148,84.7772554286995
"239",29,211.19,"CS29RXX","CS",15,256.14,1.0065,1.004,8.8987764182425,5.56173526140144,85.5394883203561
"240",30,215.1,"CS30CAX","CS",15,255.07,1.0075,1.004,10.0075056292219,8.75656742556933,81.2359269452087
"241",31,195,"CS31RAX","CS",15,240.2,1.009,1.0055,12.1681415929205,7.74336283185805,80.0884955752215
"242",32,201.96,"CS32RXX","CS",15,246.74,1.009,1.0055,12.2822688700314,7.81598928092862,79.90174184904
"243",33,214.79,"CS33CRX","CS",15,254.97,1.008,1.005,12.4440019910401,7.46640119462447,80.0895968143355
"244",34,202,"CS34RXX","CS",15,250.69,1.01,1.006,12.3228589032656,8.21523926884372,79.4619018278907
"245",35,195.53,"CS35LRX","CS",15,244.21,1.0079,1.0058,11.9145439605588,4.31388660640918,83.771569433032
"246",36,211.38,"CS36LAX","CS",15,261.82,1.0092,1.0052,10.3092783505156,7.93021411578113,81.7605075337032
